Var1 Var2 loglik
1 2_163029526 2_163029526 -947.489492232166
2 2_163045161 2_163029526 -947.452997933383
3 2_163061794 2_163029526 -947.374618721026
4 2_163078427 2_163029526 -945.822676588912
5 2_163095060 2_163029526 -943.773808734316
6 2_163111693 2_163029526 -942.366790054913
7 2_163125708 2_163029526 -941.81405967571
8 2_163137394 2_163029526 -941.602416881295
9 2_163149080 2_163029526 -941.689103125157
10 2_163154021 2_163029526 -940.818677788188
11 2_163156127 2_163029526 -940.124658040114
12 2_163157556 2_163029526 -939.632790079921
13 2_163158891 2_163029526 -939.361452152745
14 2_163160225 2_163029526 -939.319072857442
15 2_163161559 2_163029526 -939.502638743745
16 2_163162894 2_163029526 -939.897690490931
17 2_163164228 2_163029526 -940.479931270528
18 2_163165562 2_163029526 -941.218081920181
19 2_163166897 2_163029526 -942.078353199963
20 2_163262650 2_163029526 -942.641627322666
21 2_163413317 2_163029526 -942.154784750512
22 2_163495816 2_163029526 -935.39965433997
23 2_163507977 2_163029526 -933.97807807932
24 2_163520139 2_163029526 -933.104143677359
25 2_163582672 2_163029526 -932.772098412186
26 2_164022416 2_163029526 -942.544276911021
27 2_164027702 2_163029526 -941.348985954297
28 2_164032987 2_163029526 -941.167088243481
29 2_164064248 2_163029526 -941.070097374046
30 2_164070405 2_163029526 -941.069171745693
31 2_164076561 2_163029526 -941.068448417441
32 2_164255184 2_163029526 -940.477937706218
33 2_164291807 2_163029526 -920.822002994644
34 2_164314068 2_163029526 -919.943200786575
35 2_164325529 2_163029526 -919.957001632701
36 2_164336991 2_163029526 -919.358560468915
37 2_164348452 2_163029526 -916.685898689328
38 2_164605360 2_163029526 -915.370616646947
39 2_164617986 2_163029526 -914.987286881205
40 2_164628884 2_163029526 -914.700736073611
41 2_164636687 2_163029526 -914.547258002684
42 2_164648869 2_163029526 -914.547045249125
43 2_164668920 2_163029526 -914.722183877191
44 2_164758936 2_163029526 -915.583706342823
45 2_165053217 2_163029526 -909.821307153072
46 2_165121823 2_163029526 -909.695350097197
47 2_165132678 2_163029526 -909.466742260534
48 2_165143532 2_163029526 -897.632356021853
49 2_165154046 2_163029526 -895.042240243795
50 2_165157220 2_163029526 -894.419877902488
51 2_165160395 2_163029526 -893.738187381821
52 2_165163569 2_163029526 -893.324067638291
53 2_165195982 2_163029526 -893.126015448801
54 2_165223558 2_163029526 -893.004080575653
55 2_165251135 2_163029526 -892.892521696892
56 2_165276843 2_163029526 -892.75039666827
57 2_165283031 2_163029526 -892.732374116528
58 2_165290201 2_163029526 -888.956585411181
59 2_165297626 2_163029526 -868.264487467254
60 2_165445995 2_163029526 -865.115049602446
61 2_165451594 2_163029526 -864.744936295934
62 2_165457194 2_163029526 -864.488139880443
63 2_165462793 2_163029526 -864.315507153903
64 2_165468393 2_163029526 -864.224992433482
65 2_165473992 2_163029526 -864.223065224297
66 2_165479592 2_163029526 -864.310044796468
67 2_165485905 2_163029526 -860.459625635895
68 2_165495439 2_163029526 -860.765432834194
69 2_165565236 2_163029526 -860.605454010015
70 2_165569910 2_163029526 -860.181692100446
71 2_165574583 2_163029526 -859.910727683082
72 2_165581587 2_163029526 -859.631056965771
73 2_165605467 2_163029526 -859.629041195579
74 2_165629348 2_163029526 -859.649117648008
75 2_165653228 2_163029526 -859.672696022331
76 2_165677109 2_163029526 -859.686523120026
77 2_165700989 2_163029526 -859.593872199928
78 2_165704891 2_163029526 -859.441151855
79 2_165706625 2_163029526 -859.29922243237
80 2_165708359 2_163029526 -859.168944649055
81 2_165710093 2_163029526 -859.051060769811
82 2_165711827 2_163029526 -858.946175463882
83 2_165713561 2_163029526 -858.504489983976
84 2_165715295 2_163029526 -858.052969806727
85 2_165717029 2_163029526 -857.699436658455
86 2_165718763 2_163029526 -857.449618412013
87 2_165720497 2_163029526 -857.304316917314
88 2_165722231 2_163029526 -857.260924565879
89 2_165723965 2_163029526 -857.317176841689
90 2_165725699 2_163029526 -857.510943993244
91 2_165802549 2_163029526 -857.566273801428
92 2_165851320 2_163029526 -857.583385790755
93 2_165858793 2_163029526 -857.704583353174
94 2_165864624 2_163029526 -858.343192435741
95 2_165868565 2_163029526 -859.36738847676
96 2_165872506 2_163029526 -860.778033292004
97 2_165876447 2_163029526 -862.566184112813
98 2_165880388 2_163029526 -864.713028016809
99 2_165884329 2_163029526 -867.126075302447
100 2_165888270 2_163029526 -869.851228681999
101 2_165892211 2_163029526 -871.637575557839
102 2_165896152 2_163029526 -871.644163817291
103 2_165900093 2_163029526 -871.674722027318
104 2_165912941 2_163029526 -871.708001710415
105 2_165925276 2_163029526 -871.730843529442
106 2_165925359 2_163029526 -871.760117309445
107 2_165925441 2_163029526 -871.794585573114
108 2_165930685 2_163029526 -871.896775258929
109 2_166172164 2_163029526 -872.157670668726
110 2_166181382 2_163029526 -872.861082071853
111 2_166190600 2_163029526 -873.885654743396
112 2_166324274 2_163029526 -875.198017796328
113 2_166325217 2_163029526 -875.266884510497
114 2_166326020 2_163029526 -875.460880893027
115 2_166326823 2_163029526 -875.786862527001
116 2_166327627 2_163029526 -875.94329481971
117 2_166328430 2_163029526 -875.935956342421
118 2_166377584 2_163029526 -875.875635297228
119 2_166382507 2_163029526 -875.731719300835
120 2_166387430 2_163029526 -875.837650547064
121 2_166394815 2_163029526 -876.196365273611
122 2_166403288 2_163029526 -876.950145740756
123 2_166407404 2_163029526 -877.927787029138
124 2_166411519 2_163029526 -877.923778527002
125 2_166415634 2_163029526 -877.98982714072
126 2_166419069 2_163029526 -878.126819944305
127 2_166422503 2_163029526 -878.334761360948
128 2_166425938 2_163029526 -878.612617390631
129 2_166429372 2_163029526 -878.958221941763
130 2_166432807 2_163029526 -879.368286241845
131 2_166439999 2_163029526 -879.838379332503
132 2_166448156 2_163029526 -880.36219040843
133 2_166475596 2_163029526 -880.867298960564
134 2_166491355 2_163029526 -879.906405998908
135 2_166507114 2_163029526 -880.350520114666
136 2_166522873 2_163029526 -881.7620845749
137 2_166537635 2_163029526 -881.94194774889
138 2_166552260 2_163029526 -881.979161859154
139 2_166566886 2_163029526 -882.471251040542
140 2_166581511 2_163029526 -882.489708021493
141 2_166592132 2_163029526 -882.754477184561
142 2_166599166 2_163029526 -883.552094677147
143 2_166606199 2_163029526 -884.497669472985
144 2_166613233 2_163029526 -884.550126555147
145 2_166623650 2_163029526 -885.76669433606
146 2_166754477 2_163029526 -887.934180044919
147 2_166783106 2_163029526 -888.04099066421
148 2_166802407 2_163029526 -888.186891968385
149 2_166805057 2_163029526 -888.355045384236
150 2_166807706 2_163029526 -888.536501386044
151 2_166811338 2_163029526 -888.706604805982
152 2_166839967 2_163029526 -888.83364536154
153 2_166951357 2_163029526 -888.849330482507
154 2_166992184 2_163029526 -888.859976099297
155 2_167033011 2_163029526 -888.952720220842
156 2_167073838 2_163029526 -901.950877757289
157 2_167142758 2_163029526 -904.783763699145
158 2_167274124 2_163029526 -907.951666565479
159 2_167282638 2_163029526 -909.097736111614
160 2_167286179 2_163029526 -910.640225437499
161 2_167289719 2_163029526 -912.560599369808
162 2_167293260 2_163029526 -914.441828416783
163 2_167306473 2_163029526 -915.937149262901
164 2_167322761 2_163029526 -916.367955116898
165 2_167349466 2_163029526 -916.447597510873
166 2_167360748 2_163029526 -916.430991239947
167 2_167372030 2_163029526 -916.416181712886
168 2_167396998 2_163029526 -916.403747872039
169 2_167523201 2_163029526 -918.262009742113
170 2_167545144 2_163029526 -918.155909937102
171 2_167556235 2_163029526 -918.440877588697
172 2_167567326 2_163029526 -918.957167330893
173 2_167647654 2_163029526 -919.072414113292
174 2_167755373 2_163029526 -919.102726551605
175 2_167788738 2_163029526 -919.132442494048
176 2_167822104 2_163029526 -919.162711016518
177 2_167836721 2_163029526 -919.252210544628
178 2_167845502 2_163029526 -919.370183759056
179 2_167854284 2_163029526 -919.499365111975
180 2_167858563 2_163029526 -919.638954336052
181 2_163029526 2_163045161 -947.424676409232
182 2_163045161 2_163045161 -947.388200097387
183 2_163061794 2_163045161 -947.309843965583
184 2_163078427 2_163045161 -945.758029534919
185 2_163095060 2_163045161 -943.709326787545
186 2_163111693 2_163045161 -942.302447355833
187 2_163125708 2_163045161 -941.749800601229
188 2_163137394 2_163045161 -941.53821070365
189 2_163149080 2_163045161 -941.625156332059
190 2_163154021 2_163045161 -940.754745063117
